时间,波形名称,谐波次数,谐波值
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏B相电压UVY1_L2,1,0.06099815707558913
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏B相电压UVY1_L2,2,0.010593077247987344
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏B相电压UVY1_L2,3,0.011669119473200202
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏B相电压UVY1_L2,4,0.010575104702354923
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏B相电压UVY1_L2,5,0.011271371078229984
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏B相电压UVY1_L2,6,0.010243236134025042
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏B相电压UVY1_L2,7,0.024252218234383543
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏B相电压UVY1_L2,8,0.01003674734462708
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏B相电压UVY1_L2,9,0.012074428181699752
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏B相电压UVY1_L2,10,0.020288467651064724
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏C相电压UVY1_L3,1,0.1047053886436713
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏C相电压UVY1_L3,2,0.010912931013244786
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏C相电压UVY1_L3,3,0.011683023928170872
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏C相电压UVY1_L3,4,0.012270747261535424
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏C相电压UVY1_L3,5,0.010576697869032167
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏C相电压UVY1_L3,6,0.011194405839101619
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏C相电压UVY1_L3,7,0.02423312881865338
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏C相电压UVY1_L3,8,0.011547641453503094
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏C相电压UVY1_L3,9,0.009949015407639246
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏C相电压UVY1_L3,10,0.02068384091490778
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏电压UVY1_ 3Uo,1,0.031324375750963494
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏电压UVY1_ 3Uo,2,0.02304543558348835
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏电压UVY1_ 3Uo,3,0.024354723227089467
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏电压UVY1_ 3Uo,4,0.02488253577477807
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏电压UVY1_ 3Uo,5,0.02069702720293685
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏电压UVY1_ 3Uo,6,0.021850419929112228
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏电压UVY1_ 3Uo,7,0.05841303663155179
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏电压UVY1_ 3Uo,8,0.01956861838288465
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏电压UVY1_ 3Uo,9,0.01957573144473669
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接阀侧首端末屏电压UVY1_ 3Uo,10,0.047277349608975144
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关A相电流I_L1,1,0.0012224676825390976
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关A相电流I_L1,2,0.0013821478148472496
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关A相电流I_L1,3,0.0011289989943967205
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关A相电流I_L1,4,0.0011582761104893626
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关A相电流I_L1,5,0.0012289235395940101
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关A相电流I_L1,6,0.0011817517991950441
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关A相电流I_L1,7,0.0011275878406328485
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关A相电流I_L1,8,0.0011074036164280018
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关A相电流I_L1,9,0.0011918465770848984
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关A相电流I_L1,10,0.0015896720135666995
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关B相电流I_L2,1,0.0012891347048326481
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关B相电流I_L2,2,0.0011368917223904384
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关B相电流I_L2,3,0.0010792189034373042
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关B相电流I_L2,4,0.0013295674202360049
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关B相电流I_L2,5,0.0012467077314217102
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关B相电流I_L2,6,0.0010844243087054807
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关B相电流I_L2,7,0.0011173138550416605
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关B相电流I_L2,8,0.0012175577652704982
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关B相电流I_L2,9,0.0013385555879575496
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关B相电流I_L2,10,0.0013447472432198174
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关C相电流I_L3,1,0.0011644178068503381
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关C相电流I_L3,2,0.0012644197990007687
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关C相电流I_L3,3,0.0011139507748764569
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关C相电流I_L3,4,0.0011741399804253724
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关C相电流I_L3,5,0.001223438718574232
